film,year,wiki_url,oscar_winner,detail_url,producers,production_company,original_budget,converted_budget
A Man for All Seasons,1966,http://en.wikipedia.org/wiki/A_Man_for_All_Seasons_(1966_film),True,http://oscars.yipitdata.com/films/A_Man_for_All_Seasons_(1966_film),Fred Zinnemann,"Columbia, Highland Films",$2 million,2000000
Alfie,1966,http://en.wikipedia.org/wiki/Alfie_(1966_film),False,http://oscars.yipitdata.com/films/Alfie_(1966_film),Lewis Gilbert,Paramount,"$800,000 [ 2 ]",800000
"The Russians Are Coming, the Russians Are Coming",1966,"http://en.wikipedia.org/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,"http://oscars.yipitdata.com/films/The_Russians_Are_Coming,_the_Russians_Are_Coming",Norman Jewison,"United Artists, Sheldrake Films",$3.9 million [ 1 ],3900000
The Sand Pebbles,1966,http://en.wikipedia.org/wiki/The_Sand_Pebbles_(film),False,http://oscars.yipitdata.com/films/The_Sand_Pebbles_(film),Robert Wise,20th Century Fox,"$12,110,000 [ 1 ]",12110000
Who's Afraid of Virginia Woolf?,1966,http://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,http://oscars.yipitdata.com/films/Who%2527s_Afraid_of_Virginia_Woolf%3F_(film),Ernest Lehman,Warner Bros.,0,0
In the Heat of the Night,1967,http://en.wikipedia.org/wiki/In_the_Heat_of_the_Night_(film),True,http://oscars.yipitdata.com/films/In_the_Heat_of_the_Night_(film),Walter Mirisch,United Artists,$2 million [ 2 ],2000000
Bonnie and Clyde,1967,http://en.wikipedia.org/wiki/Bonnie_and_Clyde_(film),False,http://oscars.yipitdata.com/films/Bonnie_and_Clyde_(film),Warren Beatty,"Warner Bros., Seven Arts",$2.5 million,2500000
Doctor Dolittle,1967,http://en.wikipedia.org/wiki/Doctor_Dolittle_(film),False,http://oscars.yipitdata.com/films/Doctor_Dolittle_(film),Arthur P. Jacobs,20th Century Fox,$17 million [ 1 ],17000000
The Graduate,1967,http://en.wikipedia.org/wiki/The_Graduate,False,http://oscars.yipitdata.com/films/The_Graduate,Lawrence Turman,Embassy,$3 million,3000000
Guess Who's Coming to Dinner,1967,http://en.wikipedia.org/wiki/Guess_Who%27s_Coming_to_Dinner,False,http://oscars.yipitdata.com/films/Guess_Who%2527s_Coming_to_Dinner,Stanley Kramer,Columbia,$4 million,4000000
Oliver!,1968,http://en.wikipedia.org/wiki/Oliver!_(film),True,http://oscars.yipitdata.com/films/Oliver!_(film),John Woolf,"Columbia, Romulus Films, Warwick Film Productions",$10 million,10000000
Funny Girl,1968,http://en.wikipedia.org/wiki/Funny_Girl_(film),False,http://oscars.yipitdata.com/films/Funny_Girl_(film),Ray Stark,Columbia,$14.1 million,14100000
The Lion in Winter,1968,http://en.wikipedia.org/wiki/The_Lion_in_Winter_(1968_film),False,http://oscars.yipitdata.com/films/The_Lion_in_Winter_(1968_film),Martin Poll,"Embassy, Haworth Productions",$10 million [ citation needed ],10000000
"Rachel, Rachel",1968,"http://en.wikipedia.org/wiki/Rachel,_Rachel",False,"http://oscars.yipitdata.com/films/Rachel,_Rachel",Paul Newman,Warner Bros.,"$780,000",780000
